0,0,0
10000,41,95
20000,52,216
30000,84,304
40000,79,395
50000,121,476
60000,153,647
70000,198,734
80000,212,869
90000,264,900
100000,247,999
110000,222,1181
120000,343,1302
130000,330,1368
140000,347,1484
150000,417,1644
160000,454,1738
170000,358,1810
180000,443,1864
190000,488,2027
200000,462,2000
210000,526,2157
220000,582,2182
230000,597,2389
240000,640,2402
250000,620,2631
260000,663,2746
270000,682,2961
280000,773,3062
290000,655,3295
300000,745,2986
310000,580,3388
320000,890,3181
330000,841,3391
340000,712,3755
350000,828,3535
360000,969,3774
370000,964,3681
380000,1044,3925
390000,924,3899
400000,925,4136
410000,955,4010
420000,995,4249
430000,1014,4335
440000,1114,4620
450000,1081,4775
460000,1159,4685
470000,1135,4992
480000,1116,4868
490000,1286,5097
500000,1325,5321
510000,1081,5312
520000,1291,5467
530000,1300,5560
540000,1485,5405
550000,1446,5836
560000,1448,5833
570000,1509,5898
580000,1391,6318
590000,1426,6189
600000,1658,6348
610000,1623,6571
620000,1596,6627
630000,1592,6821
640000,1637,6772
650000,1608,6721
660000,1713,7016
670000,1631,7051
680000,1840,7302
690000,1540,7212
700000,1746,7242
710000,1883,7371
720000,1965,7732
730000,1816,7674
740000,1924,7885
750000,1929,7957
760000,1939,7538
770000,1992,7923
780000,1941,8098
790000,1942,8503
800000,1988,8512
810000,2016,8762
820000,2128,8493
830000,2130,8622
840000,2209,8842
850000,2288,8941
860000,2419,9059
870000,2239,9128
880000,2357,9454
890000,2290,9235
900000,2346,7606
910000,1523,6492
920000,1494,6624
930000,1497,6660
940000,1514,6754
950000,1532,6841
960000,1550,6867
970000,1556,6924
980000,1617,7706
990000,1673,7081
